field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,,,,,%time  1759798013049710000
-0.002845174,-0.011422109,0.876662011,-0.480962743,0.003478921,-0.156739691,-0.313041276,,,,,1.76E+18
-0.002826927,-0.011468773,0.876654457,-0.480975508,0.00881864,-0.17024336,-0.248048776,,,,,1.76E+18
-0.002766222,-0.011488724,0.876645317,-0.480992042,0.008310558,-0.100160504,-0.165786923,,,,,1.76E+18
-0.002729515,-0.011501911,0.876655329,-0.480973689,0.008004713,-0.03959925,-0.179615561,,,,,1.76E+18
-0.002688475,-0.01151252,0.876682827,-0.480923544,7.32E-06,-0.024968095,-0.151340098,,,,,1.76E+18
-0.002669632,-0.011539739,0.876711788,-0.480870199,-0.004948174,-0.041880384,-0.162092034,,,,,1.76E+18
-0.002652437,-0.011580678,0.876735569,-0.48082595,-0.008404683,-0.111980547,-0.160504948,,,,,1.76E+18
-0.002623774,-0.011627885,0.876766808,-0.480768003,-0.010405371,-0.115867268,-0.142684437,,,,,1.76E+18
-0.002606044,-0.011661769,0.87681007,-0.480688375,-0.010219911,-0.111623541,-0.160290947,,,,,1.76E+18
-0.002592527,-0.011693694,0.876847771,-0.480618896,-0.009661798,-0.118364801,-0.161051482,,,,,1.76E+18
-0.002585775,-0.011731532,0.87686102,-0.480593837,-0.008716429,-0.11959956,-0.144848195,,,,,1.76E+18
-0.002568393,-0.011756821,0.87685632,-0.480601888,-0.006058065,-0.12006869,-0.087523921,,,,,1.76E+18
-0.002528314,-0.011786012,0.876855152,-0.480603516,-0.004037181,-0.099257442,-0.049258289,,,,,1.76E+18
-0.002496399,-0.011821737,0.876857453,-0.480598607,-0.003435448,-0.104600508,-0.058516433,,,,,1.76E+18
-0.002460251,-0.011865478,0.876857871,-0.480596953,-0.003734653,-0.112079292,-0.061353786,,,,,1.76E+18
-0.002397926,-0.011915697,0.876862989,-0.480586688,-0.00260912,-0.092400868,-0.108037514,,,,,1.76E+18
-0.002314466,-0.011977158,0.876869321,-0.480574017,-0.001503748,-0.055361541,-0.130268669,,,,,1.76E+18
-0.002246489,-0.012050613,0.876879077,-0.480554701,-0.002007347,-0.087891067,-0.178567331,,,,,1.76E+18
