field.latitude,field.longitude,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.covariance0,field.twist.covariance0,,,,%time 
47.1160294,-88.5501888,0.045,0.094,0.006561,0.006561,,,,1.76E+18
47.1160296,-88.5501887,0.022,0.103,0.006889,0.006889,,,,1.76E+18
47.1160296,-88.5501886,0.078,0.043,0.003481,0.003481,,,,1.76E+18
47.1160297,-88.5501886,0.084,0.08,0.003844,0.003844,,,,1.76E+18
47.1160298,-88.5501885,0.038,0.042,0.004225,0.004225,,,,1.76E+18
47.1160299,-88.5501885,0.023,0.088,0.006724,0.006724,,,,1.76E+18
47.1160299,-88.5501885,0.034,0.052,0.004624,0.004624,,,,1.76E+18
47.11603,-88.5501885,-0.007,0.076,0.0081,0.0081,,,,1.76E+18
47.11603,-88.5501884,0.018,0.048,0.005929,0.005929,,,,1.76E+18
47.1160301,-88.5501884,0.009,0.043,0.0064,0.0064,,,,1.76E+18
47.1160302,-88.5501883,0.07,0.096,0.004489,0.004489,,,,1.76E+18
47.1160305,-88.5501883,0.016,0.183,0.0081,0.0081,,,,1.76E+18
47.1160307,-88.5501883,0.009,0.234,0.007744,0.007744,,,,1.76E+18
47.1160309,-88.5501883,-0.002,0.168,0.0081,0.0081,,,,1.76E+18
47.116031,-88.5501884,-0.045,0.101,0.01,0.01,,,,1.76E+18
47.1160311,-88.5501885,-0.052,0.053,0.009409,0.009409,,,,1.76E+18
47.1160312,-88.5501884,0.049,0.048,0.003364,0.003364,,,,1.76E+18
47.1160312,-88.5501884,-0.02,0.014,0.006889,0.006889,,,,1.76E+18
47.1160312,-88.5501884,0.007,0.006,0.0036,0.0036,,,,1.76E+18
47.1160312,-88.5501884,-0.001,-0.008,0.006084,0.006084,,,,1.76E+18
47.1160312,-88.5501884,-0.006,0.013,0.007744,0.007744,,,,1.76E+18
47.1160312,-88.5501884,0.012,0.025,0.004356,0.004356,,,,1.76E+18
47.1160312,-88.5501884,0.003,-0.027,0.006724,0.006724,,,,1.76E+18
47.1160311,-88.5501884,-0.035,0.005,0.004624,0.004624,,,,1.76E+18
47.1160311,-88.5501883,0.03,-0.02,0.006561,0.006561,,,,1.76E+18
47.116031,-88.5501883,0.013,-0.019,0.008464,0.008464,,,,1.76E+18
47.116031,-88.5501883,0.007,0.024,0.005929,0.005929,,,,1.76E+18
47.116031,-88.5501883,-0.001,-0.016,0.0064,0.0064,,,,1.76E+18
47.116031,-88.5501883,0.007,-0.027,0.0081,0.0081,,,,1.76E+18
47.116031,-88.5501883,0.002,0.017,0.006889,0.006889,,,,1.76E+18
47.1160309,-88.5501883,0.008,-0.004,0.007569,0.007569,,,,1.76E+18
47.116031,-88.5501883,-0.01,0.023,0.007921,0.007921,,,,1.76E+18
47.1160312,-88.5501884,-0.066,0.33,0.007921,0.007921,,,,1.76E+18
47.1160318,-88.5501885,-0.119,0.598,0.008281,0.008281,,,,1.76E+18
47.1160324,-88.5501888,-0.209,0.659,0.008281,0.008281,,,,1.76E+18
47.1160333,-88.5501892,-0.288,0.902,0.009025,0.009025,,,,1.76E+18
47.1160343,-88.5501896,-0.32,1.025,0.009025,0.009025,,,,1.76E+18
47.1160354,-88.5501903,-0.529,1.139,0.008836,0.008836,,,,1.76E+18
47.1160365,-88.5501911,-0.538,1.197,0.008464,0.008464,,,,1.76E+18
47.1160377,-88.5501919,-0.579,1.27,0.008464,0.008464,,,,1.76E+18
47.1160388,-88.5501928,-0.778,1.166,0.008464,0.008464,,,,1.76E+18
47.1160397,-88.5501938,-0.714,0.985,0.007569,0.007569,,,,1.76E+18
47.1160408,-88.5501953,-0.836,0.796,0.007056,0.007056,,,,1.76E+18
47.1160415,-88.5501963,-0.72,0.73,0.006084,0.006084,,,,1.76E+18
47.1160421,-88.5501972,-0.69,0.729,0.0064,0.0064,,,,1.76E+18
47.1160428,-88.550198,-0.6,0.818,0.0064,0.0064,,,,1.76E+18
47.1160435,-88.5501989,-0.784,0.787,0.005625,0.005625,,,,1.76E+18
47.1160443,-88.5501998,-0.644,0.821,0.005929,0.005929,,,,1.76E+18
47.116045,-88.5502008,-0.743,0.83,0.005476,0.005476,,,,1.76E+18
47.1160507,-88.5502,-0.812,0.925,0.0064,0.0064,,,,1.76E+18
47.1160515,-88.550201,-0.727,0.923,0.006241,0.006241,,,,1.76E+18
47.1160523,-88.550202,-0.798,0.877,0.006241,0.006241,,,,1.76E+18
47.1160531,-88.550203,-0.685,1.032,0.006561,0.006561,,,,1.76E+18
47.116054,-88.5502039,-0.672,0.928,0.006241,0.006241,,,,1.76E+18
47.1160555,-88.5502053,-0.646,1.135,0.006724,0.006724,,,,1.76E+18
